"","x"
"acc",0.968609865470852
"mmce",0.031390134529148
"ppv",0.964285714285714
"tpr",0.985401459854015
"f1",0.974729241877256
"gpr",0.974786412796934
"auc",0.993761670344593
"logloss",0.128640091430327
"timetrain",0.0599999999976717
