"","model","acc","mmce","ppv","tpr","f1","gpr","auc","logloss","timetrain"
"1","RF",0.942,0.058,"0.930555555555556","0.978102189781022","0.953736654804271","0.954032717783716",0.986,0.176,0.5
"2","DECISION TREE",0.861,0.139,"0.878571428571429","0.897810218978102","0.888086642599278","0.888138731659428",0.871,0.368,0.01
"3","Logistic",0.834,0.166,"0.867647058823529","0.861313868613139","0.864468864468865","0.864474664074145",0.916,0.364,0.03
"4","Logistic 2",0.834,0.166,"0.867647058823529","0.861313868613139","0.864468864468865","0.864474664074145",0.916,0.364,0.03
"5","SVM",0.87,0.13,"0.897058823529412","0.89051094890511","0.893772893772894","0.893778889974963",0.887,0.369,0.22
"6","ADABOOST",0.978,0.022,"0.971428571428571","0.992700729927007","0.981949458483754","0.982007052891726",0.999,0.448,38.84
