"","model","measure","threshold","perf"
"966","Decision Tree","tn",0.56,69
"967","Decision Tree","tn",0.57,69
"968","Decision Tree","tn",0.58,69
"969","Decision Tree","tn",0.59,69
"970","Decision Tree","tn",0.6,69
"971","Decision Tree","tn",0.61,69
"972","Decision Tree","tn",0.62,69
"973","Decision Tree","tn",0.63,69
"974","Decision Tree","tn",0.64,69
"975","Decision Tree","tn",0.65,69
"976","Decision Tree","tn",0.66,69
"977","Decision Tree","tn",0.67,69
"978","Decision Tree","tn",0.68,69
"979","Decision Tree","tn",0.69,69
"980","Decision Tree","tn",0.7,69
"981","Decision Tree","tn",0.71,69
"982","Decision Tree","tn",0.72,69
"983","Decision Tree","tn",0.73,69
"984","Decision Tree","tn",0.74,69
"985","Decision Tree","tn",0.75,69
"986","Decision Tree","tn",0.76,69
"987","Decision Tree","tn",0.77,69
"988","Decision Tree","tn",0.78,69
"989","Decision Tree","tn",0.79,69
"990","Decision Tree","tn",0.8,69
"991","Decision Tree","tn",0.81,69
"992","Decision Tree","tn",0.82,69
"993","Decision Tree","tn",0.83,76.5
"994","Decision Tree","tn",0.84,84
"995","Decision Tree","tn",0.85,84
"996","Decision Tree","tn",0.86,85
"997","Decision Tree","tn",0.87,85
"998","Decision Tree","tn",0.88,85
"999","Decision Tree","tn",0.89,86
"1000","Decision Tree","tn",0.9,86
"1001","Decision Tree","tn",0.91,86
"1002","Decision Tree","tn",0.92,86
"1003","Decision Tree","tn",0.93,86
"1004","Decision Tree","tn",0.94,86
"1005","Decision Tree","tn",0.95,86
"1006","Decision Tree","tn",0.96,86
"1007","Decision Tree","tn",0.97,86
"1008","Decision Tree","tn",0.98,86
"1009","Decision Tree","tn",0.99,86
"1010","Decision Tree","tn",1,86
"1011","Decision Tree","tp",0,137
"1012","Decision Tree","tp",0.01,137
"1013","Decision Tree","tp",0.02,137
"1014","Decision Tree","tp",0.03,137
"1015","Decision Tree","tp",0.04,137
"1016","Decision Tree","tp",0.05,137
"1017","Decision Tree","tp",0.06,136
"1018","Decision Tree","tp",0.07,136
"1019","Decision Tree","tp",0.08,136
"1020","Decision Tree","tp",0.09,136
"1021","Decision Tree","tp",0.1,136
"1022","Decision Tree","tp",0.11,136
"1023","Decision Tree","tp",0.12,136
"1024","Decision Tree","tp",0.13,136
"1025","Decision Tree","tp",0.14,136
"1026","Decision Tree","tp",0.15,136
"1027","Decision Tree","tp",0.16,136
"1028","Decision Tree","tp",0.17,136
"1029","Decision Tree","tp",0.18,136
"1030","Decision Tree","tp",0.19,136
"1031","Decision Tree","tp",0.2,136
"1032","Decision Tree","tp",0.21,136
"1033","Decision Tree","tp",0.22,136
"1034","Decision Tree","tp",0.23,136
"1035","Decision Tree","tp",0.24,136
"1036","Decision Tree","tp",0.25,136
"1037","Decision Tree","tp",0.26,136
"1038","Decision Tree","tp",0.27,136
"1039","Decision Tree","tp",0.28,136
"1040","Decision Tree","tp",0.29,136
"1041","Decision Tree","tp",0.3,136
"1042","Decision Tree","tp",0.31,136
"1043","Decision Tree","tp",0.32,136
"1044","Decision Tree","tp",0.33,136
"1045","Decision Tree","tp",0.34,136
"1046","Decision Tree","tp",0.35,136
"1047","Decision Tree","tp",0.36,136
"1048","Decision Tree","tp",0.37,136
"1049","Decision Tree","tp",0.38,129.5
"1050","Decision Tree","tp",0.39,123
"1051","Decision Tree","tp",0.4,123
"1052","Decision Tree","tp",0.41,123
"1053","Decision Tree","tp",0.42,123
"1054","Decision Tree","tp",0.43,123
"1055","Decision Tree","tp",0.44,123
"1056","Decision Tree","tp",0.45,123
"1057","Decision Tree","tp",0.46,123
"1058","Decision Tree","tp",0.47,123
"1059","Decision Tree","tp",0.48,123
"1060","Decision Tree","tp",0.49,123
"1061","Decision Tree","tp",0.5,123
"1062","Decision Tree","tp",0.51,123
"1063","Decision Tree","tp",0.52,123
"1064","Decision Tree","tp",0.53,123
"1065","Decision Tree","tp",0.54,123
"1066","Decision Tree","tp",0.55,123
"1067","Decision Tree","tp",0.56,123
"1068","Decision Tree","tp",0.57,123
"1069","Decision Tree","tp",0.58,123
"1070","Decision Tree","tp",0.59,123
"1071","Decision Tree","tp",0.6,123
"1072","Decision Tree","tp",0.61,123
"1073","Decision Tree","tp",0.62,123
"1074","Decision Tree","tp",0.63,123
"1075","Decision Tree","tp",0.64,123
"1076","Decision Tree","tp",0.65,123
"1077","Decision Tree","tp",0.66,123
"1078","Decision Tree","tp",0.67,123
"1079","Decision Tree","tp",0.68,123
"1080","Decision Tree","tp",0.69,123
"1081","Decision Tree","tp",0.7,123
"1082","Decision Tree","tp",0.71,123
"1083","Decision Tree","tp",0.72,123
"1084","Decision Tree","tp",0.73,123
"1085","Decision Tree","tp",0.74,123
"1086","Decision Tree","tp",0.75,123
"1087","Decision Tree","tp",0.76,123
"1088","Decision Tree","tp",0.77,123
"1089","Decision Tree","tp",0.78,123
"1090","Decision Tree","tp",0.79,123
"1091","Decision Tree","tp",0.8,123
"1092","Decision Tree","tp",0.81,123
"1093","Decision Tree","tp",0.82,123
"1094","Decision Tree","tp",0.83,66
"1095","Decision Tree","tp",0.84,9
"1096","Decision Tree","tp",0.85,9
"1097","Decision Tree","tp",0.86,8
"1098","Decision Tree","tp",0.87,8
"1099","Decision Tree","tp",0.88,8
"1100","Decision Tree","tp",0.89,0
"1101","Decision Tree","tp",0.9,0
"1102","Decision Tree","tp",0.91,0
"1103","Decision Tree","tp",0.92,0
"1104","Decision Tree","tp",0.93,0
"1105","Decision Tree","tp",0.94,0
"1106","Decision Tree","tp",0.95,0
"1107","Decision Tree","tp",0.96,0
"1108","Decision Tree","tp",0.97,0
"1109","Decision Tree","tp",0.98,0
"1110","Decision Tree","tp",0.99,0
"1111","Decision Tree","tp",1,0
"1112","Decision Tree","tpr",0,1
"1113","Decision Tree","tpr",0.01,1
"1114","Decision Tree","tpr",0.02,1
"1115","Decision Tree","tpr",0.03,1
"1116","Decision Tree","tpr",0.04,1
"1117","Decision Tree","tpr",0.05,1
"1118","Decision Tree","tpr",0.06,0.99
"1119","Decision Tree","tpr",0.07,0.99
"1120","Decision Tree","tpr",0.08,0.99
"1121","Decision Tree","tpr",0.09,0.99
"1122","Decision Tree","tpr",0.1,0.99
"1123","Decision Tree","tpr",0.11,0.99
"1124","Decision Tree","tpr",0.12,0.99
"1125","Decision Tree","tpr",0.13,0.99
"1126","Decision Tree","tpr",0.14,0.99
"1127","Decision Tree","tpr",0.15,0.99
"1128","Decision Tree","tpr",0.16,0.99
"1129","Decision Tree","tpr",0.17,0.99
"1130","Decision Tree","tpr",0.18,0.99
"1131","Decision Tree","tpr",0.19,0.99
"1132","Decision Tree","tpr",0.2,0.99
"1133","Decision Tree","tpr",0.21,0.99
"1134","Decision Tree","tpr",0.22,0.99
"1135","Decision Tree","tpr",0.23,0.99
"1136","Decision Tree","tpr",0.24,0.99
"1137","Decision Tree","tpr",0.25,0.99
"1138","Decision Tree","tpr",0.26,0.99
"1139","Decision Tree","tpr",0.27,0.99
"1140","Decision Tree","tpr",0.28,0.99
"1141","Decision Tree","tpr",0.29,0.99
"1142","Decision Tree","tpr",0.3,0.99
"1143","Decision Tree","tpr",0.31,0.99
"1144","Decision Tree","tpr",0.32,0.99
"1145","Decision Tree","tpr",0.33,0.99
"1146","Decision Tree","tpr",0.34,0.99
"1147","Decision Tree","tpr",0.35,0.99
"1148","Decision Tree","tpr",0.36,0.99
"1149","Decision Tree","tpr",0.37,0.99
"1150","Decision Tree","tpr",0.38,0.945
"1151","Decision Tree","tpr",0.39,0.9
"1152","Decision Tree","tpr",0.4,0.9
"1153","Decision Tree","tpr",0.41,0.9
"1154","Decision Tree","tpr",0.42,0.9
"1155","Decision Tree","tpr",0.43,0.9
"1156","Decision Tree","tpr",0.44,0.9
"1157","Decision Tree","tpr",0.45,0.9
"1158","Decision Tree","tpr",0.46,0.9
"1159","Decision Tree","tpr",0.47,0.9
"1160","Decision Tree","tpr",0.48,0.9
"1161","Decision Tree","tpr",0.49,0.9
"1162","Decision Tree","tpr",0.5,0.9
"1163","Decision Tree","tpr",0.51,0.9
"1164","Decision Tree","tpr",0.52,0.9
"1165","Decision Tree","tpr",0.53,0.9
"1166","Decision Tree","tpr",0.54,0.9
"1167","Decision Tree","tpr",0.55,0.9
"1168","Decision Tree","tpr",0.56,0.9
"1169","Decision Tree","tpr",0.57,0.9
"1170","Decision Tree","tpr",0.58,0.9
"1171","Decision Tree","tpr",0.59,0.9
"1172","Decision Tree","tpr",0.6,0.9
"1173","Decision Tree","tpr",0.61,0.9
"1174","Decision Tree","tpr",0.62,0.9
"1175","Decision Tree","tpr",0.63,0.9
"1176","Decision Tree","tpr",0.64,0.9
"1177","Decision Tree","tpr",0.65,0.9
"1178","Decision Tree","tpr",0.66,0.9
"1179","Decision Tree","tpr",0.67,0.9
"1180","Decision Tree","tpr",0.68,0.9
"1181","Decision Tree","tpr",0.69,0.9
"1182","Decision Tree","tpr",0.7,0.9
"1183","Decision Tree","tpr",0.71,0.9
"1184","Decision Tree","tpr",0.72,0.9
"1185","Decision Tree","tpr",0.73,0.9
"1186","Decision Tree","tpr",0.74,0.9
"1187","Decision Tree","tpr",0.75,0.9
"1188","Decision Tree","tpr",0.76,0.9
"1189","Decision Tree","tpr",0.77,0.9
"1190","Decision Tree","tpr",0.78,0.9
"1191","Decision Tree","tpr",0.79,0.9
"1192","Decision Tree","tpr",0.8,0.9
"1193","Decision Tree","tpr",0.81,0.9
"1194","Decision Tree","tpr",0.82,0.9
"1195","Decision Tree","tpr",0.83,0.485
"1196","Decision Tree","tpr",0.84,0.07
"1197","Decision Tree","tpr",0.85,0.07
"1198","Decision Tree","tpr",0.86,0.06
"1199","Decision Tree","tpr",0.87,0.06
"1200","Decision Tree","tpr",0.88,0.06
"1201","Decision Tree","tpr",0.89,0
"1202","Decision Tree","tpr",0.9,0
"1203","Decision Tree","tpr",0.91,0
"1204","Decision Tree","tpr",0.92,0
"1205","Decision Tree","tpr",0.93,0
"1206","Decision Tree","tpr",0.94,0
"1207","Decision Tree","tpr",0.95,0
"1208","Decision Tree","tpr",0.96,0
"1209","Decision Tree","tpr",0.97,0
"1210","Decision Tree","tpr",0.98,0
"1211","Decision Tree","tpr",0.99,0
"1212","Decision Tree","tpr",1,0
"1213","Logistic","fn",0,0
"1214","Logistic","fn",0.01,0
"1215","Logistic","fn",0.02,0
"1216","Logistic","fn",0.03,0
"1217","Logistic","fn",0.04,0
"1218","Logistic","fn",0.05,0
"1219","Logistic","fn",0.06,0
"1220","Logistic","fn",0.07,0
"1221","Logistic","fn",0.08,1
"1222","Logistic","fn",0.09,1
"1223","Logistic","fn",0.1,1
"1224","Logistic","fn",0.11,1
"1225","Logistic","fn",0.12,1
"1226","Logistic","fn",0.13,1
"1227","Logistic","fn",0.14,1
"1228","Logistic","fn",0.15,1
"1229","Logistic","fn",0.16,1
"1230","Logistic","fn",0.17,1
"1231","Logistic","fn",0.18,1
"1232","Logistic","fn",0.19,1
"1233","Logistic","fn",0.2,2
"1234","Logistic","fn",0.21,2
"1235","Logistic","fn",0.22,2
"1236","Logistic","fn",0.23,3.5
"1237","Logistic","fn",0.24,4
"1238","Logistic","fn",0.25,4
"1239","Logistic","fn",0.26,4
"1240","Logistic","fn",0.27,4
"1241","Logistic","fn",0.28,4
"1242","Logistic","fn",0.29,4
"1243","Logistic","fn",0.3,4.5
"1244","Logistic","fn",0.31,5
"1245","Logistic","fn",0.32,7
"1246","Logistic","fn",0.33,7
"1247","Logistic","fn",0.34,7
"1248","Logistic","fn",0.35,7.5
"1249","Logistic","fn",0.36,9
"1250","Logistic","fn",0.37,9
"1251","Logistic","fn",0.38,9
"1252","Logistic","fn",0.39,11
"1253","Logistic","fn",0.4,12.5
"1254","Logistic","fn",0.41,14.5
"1255","Logistic","fn",0.42,15
"1256","Logistic","fn",0.43,15
"1257","Logistic","fn",0.44,16.5
"1258","Logistic","fn",0.45,17
"1259","Logistic","fn",0.46,17
"1260","Logistic","fn",0.47,17
"1261","Logistic","fn",0.48,17
"1262","Logistic","fn",0.49,18
"1263","Logistic","fn",0.5,19.5
"1264","Logistic","fn",0.51,22
"1265","Logistic","fn",0.52,24
"1266","Logistic","fn",0.53,25
"1267","Logistic","fn",0.54,25
"1268","Logistic","fn",0.55,25
"1269","Logistic","fn",0.56,26
"1270","Logistic","fn",0.57,26
"1271","Logistic","fn",0.58,26
"1272","Logistic","fn",0.59,27
"1273","Logistic","fn",0.6,27
"1274","Logistic","fn",0.61,27
"1275","Logistic","fn",0.62,27
"1276","Logistic","fn",0.63,28.5
"1277","Logistic","fn",0.64,30
"1278","Logistic","fn",0.65,30
"1279","Logistic","fn",0.66,30
"1280","Logistic","fn",0.67,33.5
"1281","Logistic","fn",0.68,34
"1282","Logistic","fn",0.69,36.5
"1283","Logistic","fn",0.7,37
"1284","Logistic","fn",0.71,37
"1285","Logistic","fn",0.72,37.5
"1286","Logistic","fn",0.73,39.5
"1287","Logistic","fn",0.74,40
"1288","Logistic","fn",0.75,41.5
"1289","Logistic","fn",0.76,42
"1290","Logistic","fn",0.77,43.5
"1291","Logistic","fn",0.78,45
"1292","Logistic","fn",0.79,45
"1293","Logistic","fn",0.8,45
"1294","Logistic","fn",0.81,45
"1295","Logistic","fn",0.82,47.5
"1296","Logistic","fn",0.83,49
"1297","Logistic","fn",0.84,50.5
"1298","Logistic","fn",0.85,55
"1299","Logistic","fn",0.86,58
"1300","Logistic","fn",0.87,70
"1301","Logistic","fn",0.88,84
"1302","Logistic","fn",0.89,89.5
"1303","Logistic","fn",0.9,94
"1304","Logistic","fn",0.91,107
"1305","Logistic","fn",0.92,116.5
"1306","Logistic","fn",0.93,120.5
"1307","Logistic","fn",0.94,124
"1308","Logistic","fn",0.95,130
"1309","Logistic","fn",0.96,133
"1310","Logistic","fn",0.97,135.5
"1311","Logistic","fn",0.98,136
"1312","Logistic","fn",0.99,136.5
"1313","Logistic","fn",1,137
"1314","Logistic","fp",0,86
"1315","Logistic","fp",0.01,86
"1316","Logistic","fp",0.02,86
"1317","Logistic","fp",0.03,86
"1318","Logistic","fp",0.04,83.5
"1319","Logistic","fp",0.05,79
"1320","Logistic","fp",0.06,72.5
"1321","Logistic","fp",0.07,71.5
"1322","Logistic","fp",0.08,69.5
"1323","Logistic","fp",0.09,68
"1324","Logistic","fp",0.1,66
"1325","Logistic","fp",0.11,63
"1326","Logistic","fp",0.12,62
"1327","Logistic","fp",0.13,57.5
"1328","Logistic","fp",0.14,55.5
"1329","Logistic","fp",0.15,52.5
"1330","Logistic","fp",0.16,50.5
"1331","Logistic","fp",0.17,50
"1332","Logistic","fp",0.18,50
"1333","Logistic","fp",0.19,49
"1334","Logistic","fp",0.2,49
"1335","Logistic","fp",0.21,48.5
"1336","Logistic","fp",0.22,47.5
"1337","Logistic","fp",0.23,44
"1338","Logistic","fp",0.24,44
"1339","Logistic","fp",0.25,43.5
"1340","Logistic","fp",0.26,41
"1341","Logistic","fp",0.27,40
"1342","Logistic","fp",0.28,39
"1343","Logistic","fp",0.29,36.5
"1344","Logistic","fp",0.3,35
"1345","Logistic","fp",0.31,34.5
"1346","Logistic","fp",0.32,26
"1347","Logistic","fp",0.33,25
"1348","Logistic","fp",0.34,25
"1349","Logistic","fp",0.35,25
"1350","Logistic","fp",0.36,25
"1351","Logistic","fp",0.37,24.5
"1352","Logistic","fp",0.38,22.5
"1353","Logistic","fp",0.39,21.5
"1354","Logistic","fp",0.4,21
"1355","Logistic","fp",0.41,21
"1356","Logistic","fp",0.42,19.5
"1357","Logistic","fp",0.43,19
"1358","Logistic","fp",0.44,19
"1359","Logistic","fp",0.45,19
"1360","Logistic","fp",0.46,19
"1361","Logistic","fp",0.47,19
"1362","Logistic","fp",0.48,18.5
"1363","Logistic","fp",0.49,18
"1364","Logistic","fp",0.5,18
"1365","Logistic","fp",0.51,18
"1366","Logistic","fp",0.52,15.5
"1367","Logistic","fp",0.53,15
"1368","Logistic","fp",0.54,14.5
"1369","Logistic","fp",0.55,13.5
"1370","Logistic","fp",0.56,13
"1371","Logistic","fp",0.57,12
"1372","Logistic","fp",0.58,11
"1373","Logistic","fp",0.59,9
"1374","Logistic","fp",0.6,9
"1375","Logistic","fp",0.61,9
"1376","Logistic","fp",0.62,9
"1377","Logistic","fp",0.63,9
"1378","Logistic","fp",0.64,9
"1379","Logistic","fp",0.65,9
"1380","Logistic","fp",0.66,9
"1381","Logistic","fp",0.67,8.5
"1382","Logistic","fp",0.68,8
"1383","Logistic","fp",0.69,7
"1384","Logistic","fp",0.7,7
"1385","Logistic","fp",0.71,7
"1386","Logistic","fp",0.72,6
"1387","Logistic","fp",0.73,6
"1388","Logistic","fp",0.74,6
"1389","Logistic","fp",0.75,6
"1390","Logistic","fp",0.76,6
"1391","Logistic","fp",0.77,6
"1392","Logistic","fp",0.78,6
"1393","Logistic","fp",0.79,5.5
"1394","Logistic","fp",0.8,5
"1395","Logistic","fp",0.81,5
"1396","Logistic","fp",0.82,4.5
"1397","Logistic","fp",0.83,4
"1398","Logistic","fp",0.84,4
"1399","Logistic","fp",0.85,4
"1400","Logistic","fp",0.86,4
"1401","Logistic","fp",0.87,2.5
"1402","Logistic","fp",0.88,2
"1403","Logistic","fp",0.89,2
"1404","Logistic","fp",0.9,2
"1405","Logistic","fp",0.91,0.5
"1406","Logistic","fp",0.92,0
"1407","Logistic","fp",0.93,0
"1408","Logistic","fp",0.94,0
"1409","Logistic","fp",0.95,0
"1410","Logistic","fp",0.96,0
"1411","Logistic","fp",0.97,0
"1412","Logistic","fp",0.98,0
"1413","Logistic","fp",0.99,0
"1414","Logistic","fp",1,0
"1415","Logistic","ppv",0,0.61
"1416","Logistic","ppv",0.01,0.61
"1417","Logistic","ppv",0.02,0.61
"1418","Logistic","ppv",0.03,0.61
"1419","Logistic","ppv",0.04,0.625
"1420","Logistic","ppv",0.05,0.635
"1421","Logistic","ppv",0.06,0.655
"1422","Logistic","ppv",0.07,0.66
"1423","Logistic","ppv",0.08,0.66
"1424","Logistic","ppv",0.09,0.665
"1425","Logistic","ppv",0.1,0.675
"1426","Logistic","ppv",0.11,0.68
"1427","Logistic","ppv",0.12,0.685
"1428","Logistic","ppv",0.13,0.705
"1429","Logistic","ppv",0.14,0.71
"1430","Logistic","ppv",0.15,0.72
"1431","Logistic","ppv",0.16,0.73
"1432","Logistic","ppv",0.17,0.73
"1433","Logistic","ppv",0.18,0.73
"1434","Logistic","ppv",0.19,0.74
"1435","Logistic","ppv",0.2,0.73
"1436","Logistic","ppv",0.21,0.735
"1437","Logistic","ppv",0.22,0.74
"1438","Logistic","ppv",0.23,0.75
"1439","Logistic","ppv",0.24,0.75
"1440","Logistic","ppv",0.25,0.755
"1441","Logistic","ppv",0.26,0.76
"1442","Logistic","ppv",0.27,0.77
"1443","Logistic","ppv",0.28,0.775
"1444","Logistic","ppv",0.29,0.785
"1445","Logistic","ppv",0.3,0.79
"1446","Logistic","ppv",0.31,0.795
"1447","Logistic","ppv",0.32,0.83
"1448","Logistic","ppv",0.33,0.84
"1449","Logistic","ppv",0.34,0.84
"1450","Logistic","ppv",0.35,0.84
"1451","Logistic","ppv",0.36,0.84
"1452","Logistic","ppv",0.37,0.84
"1453","Logistic","ppv",0.38,0.85
"1454","Logistic","ppv",0.39,0.855
"1455","Logistic","ppv",0.4,0.86
"1456","Logistic","ppv",0.41,0.85
"1457","Logistic","ppv",0.42,0.865
"1458","Logistic","ppv",0.43,0.87
"1459","Logistic","ppv",0.44,0.86
"1460","Logistic","ppv",0.45,0.86
"1461","Logistic","ppv",0.46,0.86
"1462","Logistic","ppv",0.47,0.86
"1463","Logistic","ppv",0.48,0.865
"1464","Logistic","ppv",0.49,0.87
"1465","Logistic","ppv",0.5,0.87
"1466","Logistic","ppv",0.51,0.865
"1467","Logistic","ppv",0.52,0.88
"1468","Logistic","ppv",0.53,0.88
"1469","Logistic","ppv",0.54,0.885
"1470","Logistic","ppv",0.55,0.895
"1471","Logistic","ppv",0.56,0.9
"1472","Logistic","ppv",0.57,0.9
"1473","Logistic","ppv",0.58,0.91
"1474","Logistic","ppv",0.59,0.92
"1475","Logistic","ppv",0.6,0.92
"1476","Logistic","ppv",0.61,0.92
"1477","Logistic","ppv",0.62,0.92
"1478","Logistic","ppv",0.63,0.92
"1479","Logistic","ppv",0.64,0.92
"1480","Logistic","ppv",0.65,0.92
"1481","Logistic","ppv",0.66,0.92
"1482","Logistic","ppv",0.67,0.925
"1483","Logistic","ppv",0.68,0.93
"1484","Logistic","ppv",0.69,0.935
"1485","Logistic","ppv",0.7,0.93
"1486","Logistic","ppv",0.71,0.93
"1487","Logistic","ppv",0.72,0.94
"1488","Logistic","ppv",0.73,0.94
"1489","Logistic","ppv",0.74,0.94
"1490","Logistic","ppv",0.75,0.94
"1491","Logistic","ppv",0.76,0.94
"1492","Logistic","ppv",0.77,0.94
"1493","Logistic","ppv",0.78,0.94
"1494","Logistic","ppv",0.79,0.945
"1495","Logistic","ppv",0.8,0.95
"1496","Logistic","ppv",0.81,0.95
"1497","Logistic","ppv",0.82,0.955
"1498","Logistic","ppv",0.83,0.96
"1499","Logistic","ppv",0.84,0.96
"1500","Logistic","ppv",0.85,0.95
"1501","Logistic","ppv",0.86,0.95
"1502","Logistic","ppv",0.87,0.965
"1503","Logistic","ppv",0.88,0.96
"1504","Logistic","ppv",0.89,0.96
"1505","Logistic","ppv",0.9,0.96
"1506","Logistic","ppv",0.91,0.985
"1507","Logistic","ppv",0.92,1
"1508","Logistic","ppv",0.93,1
"1509","Logistic","ppv",0.94,1
"1510","Logistic","ppv",0.95,1
"1511","Logistic","ppv",0.96,1
"1512","Logistic","ppv",0.97,1
"1513","Logistic","ppv",0.98,1
"1514","Logistic","ppv",0.99,1
"1515","Logistic","ppv",1,1
"1516","Logistic","tn",0,0
"1517","Logistic","tn",0.01,0
"1518","Logistic","tn",0.02,0
"1519","Logistic","tn",0.03,0
"1520","Logistic","tn",0.04,2.5
"1521","Logistic","tn",0.05,7
"1522","Logistic","tn",0.06,13.5
"1523","Logistic","tn",0.07,14.5
"1524","Logistic","tn",0.08,16.5
"1525","Logistic","tn",0.09,18
"1526","Logistic","tn",0.1,20
"1527","Logistic","tn",0.11,23
"1528","Logistic","tn",0.12,24
"1529","Logistic","tn",0.13,28.5
"1530","Logistic","tn",0.14,30.5
"1531","Logistic","tn",0.15,33.5
"1532","Logistic","tn",0.16,35.5
"1533","Logistic","tn",0.17,36
"1534","Logistic","tn",0.18,36
"1535","Logistic","tn",0.19,37
"1536","Logistic","tn",0.2,37
"1537","Logistic","tn",0.21,37.5
"1538","Logistic","tn",0.22,38.5
"1539","Logistic","tn",0.23,42
"1540","Logistic","tn",0.24,42
"1541","Logistic","tn",0.25,42.5
"1542","Logistic","tn",0.26,45
"1543","Logistic","tn",0.27,46
"1544","Logistic","tn",0.28,47
"1545","Logistic","tn",0.29,49.5
"1546","Logistic","tn",0.3,51
"1547","Logistic","tn",0.31,51.5
"1548","Logistic","tn",0.32,60
"1549","Logistic","tn",0.33,61
"1550","Logistic","tn",0.34,61
"1551","Logistic","tn",0.35,61
"1552","Logistic","tn",0.36,61
"1553","Logistic","tn",0.37,61.5
"1554","Logistic","tn",0.38,63.5
"1555","Logistic","tn",0.39,64.5
"1556","Logistic","tn",0.4,65
"1557","Logistic","tn",0.41,65
"1558","Logistic","tn",0.42,66.5
"1559","Logistic","tn",0.43,67
"1560","Logistic","tn",0.44,67
"1561","Logistic","tn",0.45,67
"1562","Logistic","tn",0.46,67
"1563","Logistic","tn",0.47,67
"1564","Logistic","tn",0.48,67.5
"1565","Logistic","tn",0.49,68
"1566","Logistic","tn",0.5,68
"1567","Logistic","tn",0.51,68
"1568","Logistic","tn",0.52,70.5
"1569","Logistic","tn",0.53,71
"1570","Logistic","tn",0.54,71.5
"1571","Logistic","tn",0.55,72.5
"1572","Logistic","tn",0.56,73
"1573","Logistic","tn",0.57,74
"1574","Logistic","tn",0.58,75
"1575","Logistic","tn",0.59,77
"1576","Logistic","tn",0.6,77
"1577","Logistic","tn",0.61,77
"1578","Logistic","tn",0.62,77
"1579","Logistic","tn",0.63,77
"1580","Logistic","tn",0.64,77
"1581","Logistic","tn",0.65,77
"1582","Logistic","tn",0.66,77
"1583","Logistic","tn",0.67,77.5
"1584","Logistic","tn",0.68,78
"1585","Logistic","tn",0.69,79
"1586","Logistic","tn",0.7,79
"1587","Logistic","tn",0.71,79
"1588","Logistic","tn",0.72,80
"1589","Logistic","tn",0.73,80
"1590","Logistic","tn",0.74,80
"1591","Logistic","tn",0.75,80
"1592","Logistic","tn",0.76,80
"1593","Logistic","tn",0.77,80
"1594","Logistic","tn",0.78,80
"1595","Logistic","tn",0.79,80.5
"1596","Logistic","tn",0.8,81
"1597","Logistic","tn",0.81,81
"1598","Logistic","tn",0.82,81.5
"1599","Logistic","tn",0.83,82
"1600","Logistic","tn",0.84,82
"1601","Logistic","tn",0.85,82
"1602","Logistic","tn",0.86,82
"1603","Logistic","tn",0.87,83.5
"1604","Logistic","tn",0.88,84
"1605","Logistic","tn",0.89,84
"1606","Logistic","tn",0.9,84
"1607","Logistic","tn",0.91,85.5
"1608","Logistic","tn",0.92,86
"1609","Logistic","tn",0.93,86
"1610","Logistic","tn",0.94,86
"1611","Logistic","tn",0.95,86
"1612","Logistic","tn",0.96,86
"1613","Logistic","tn",0.97,86
"1614","Logistic","tn",0.98,86
"1615","Logistic","tn",0.99,86
"1616","Logistic","tn",1,86
"1617","Logistic","tp",0,137
"1618","Logistic","tp",0.01,137
"1619","Logistic","tp",0.02,137
"1620","Logistic","tp",0.03,137
"1621","Logistic","tp",0.04,137
"1622","Logistic","tp",0.05,137
"1623","Logistic","tp",0.06,137
"1624","Logistic","tp",0.07,137
"1625","Logistic","tp",0.08,136
"1626","Logistic","tp",0.09,136
"1627","Logistic","tp",0.1,136
"1628","Logistic","tp",0.11,136
"1629","Logistic","tp",0.12,136
"1630","Logistic","tp",0.13,136
"1631","Logistic","tp",0.14,136
"1632","Logistic","tp",0.15,136
"1633","Logistic","tp",0.16,136
"1634","Logistic","tp",0.17,136
"1635","Logistic","tp",0.18,136
"1636","Logistic","tp",0.19,136
"1637","Logistic","tp",0.2,135
"1638","Logistic","tp",0.21,135
"1639","Logistic","tp",0.22,135
"1640","Logistic","tp",0.23,133.5
"1641","Logistic","tp",0.24,133
"1642","Logistic","tp",0.25,133
"1643","Logistic","tp",0.26,133
"1644","Logistic","tp",0.27,133
"1645","Logistic","tp",0.28,133
"1646","Logistic","tp",0.29,133
"1647","Logistic","tp",0.3,132.5
"1648","Logistic","tp",0.31,132
"1649","Logistic","tp",0.32,130
"1650","Logistic","tp",0.33,130
"1651","Logistic","tp",0.34,130
"1652","Logistic","tp",0.35,129.5
"1653","Logistic","tp",0.36,128
"1654","Logistic","tp",0.37,128
"1655","Logistic","tp",0.38,128
"1656","Logistic","tp",0.39,126
"1657","Logistic","tp",0.4,124.5
"1658","Logistic","tp",0.41,122.5
"1659","Logistic","tp",0.42,122
"1660","Logistic","tp",0.43,122
"1661","Logistic","tp",0.44,120.5
"1662","Logistic","tp",0.45,120
"1663","Logistic","tp",0.46,120
"1664","Logistic","tp",0.47,120
"1665","Logistic","tp",0.48,120
"1666","Logistic","tp",0.49,119
"1667","Logistic","tp",0.5,117.5
"1668","Logistic","tp",0.51,115
"1669","Logistic","tp",0.52,113
"1670","Logistic","tp",0.53,112
"1671","Logistic","tp",0.54,112
"1672","Logistic","tp",0.55,112
"1673","Logistic","tp",0.56,111
"1674","Logistic","tp",0.57,111
"1675","Logistic","tp",0.58,111
"1676","Logistic","tp",0.59,110
"1677","Logistic","tp",0.6,110
"1678","Logistic","tp",0.61,110
