"","model","fpr","tpr","threshold"
"1","RF",1,1,"0"
"2","RF",0.837209302325581,1,"0.0101010101010101"
"3","RF",0.755813953488372,1,"0.0202020202020202"
"4","RF",0.674418604651163,1,"0.0303030303030303"
"5","RF",0.627906976744186,1,"0.0404040404040404"
"6","RF",0.581395348837209,1,"0.0505050505050505"
"7","RF",0.569767441860465,1,"0.0606060606060606"
"8","RF",0.523255813953488,1,"0.0707070707070707"
"9","RF",0.488372093023256,1,"0.0808080808080808"
"10","RF",0.430232558139535,1,"0.0909090909090909"
"11","RF",0.418604651162791,1,"0.101010101010101"
"12","RF",0.406976744186047,1,"0.111111111111111"
"13","RF",0.395348837209302,1,"0.121212121212121"
"14","RF",0.383720930232558,1,"0.131313131313131"
"15","RF",0.372093023255814,1,"0.141414141414141"
"16","RF",0.337209302325581,1,"0.151515151515152"
"17","RF",0.337209302325581,1,"0.161616161616162"
"18","RF",0.325581395348837,1,"0.171717171717172"
"19","RF",0.325581395348837,1,"0.181818181818182"
"20","RF",0.325581395348837,1,"0.191919191919192"
"21","RF",0.325581395348837,1,"0.202020202020202"
"22","RF",0.313953488372093,1,"0.212121212121212"
"23","RF",0.313953488372093,1,"0.222222222222222"
"24","RF",0.313953488372093,1,"0.232323232323232"
"25","RF",0.313953488372093,1,"0.242424242424242"
"26","RF",0.302325581395349,1,"0.252525252525253"
"27","RF",0.302325581395349,1,"0.262626262626263"
"28","RF",0.302325581395349,1,"0.272727272727273"
"29","RF",0.290697674418605,1,"0.282828282828283"
"30","RF",0.290697674418605,1,"0.292929292929293"
"31","RF",0.27906976744186,1,"0.303030303030303"
"32","RF",0.267441860465116,1,"0.313131313131313"
"33","RF",0.267441860465116,1,"0.323232323232323"
"34","RF",0.267441860465116,1,"0.333333333333333"
"35","RF",0.255813953488372,1,"0.343434343434343"
"36","RF",0.255813953488372,1,"0.353535353535354"
"37","RF",0.255813953488372,1,"0.363636363636364"
"38","RF",0.255813953488372,1,"0.373737373737374"
"39","RF",0.232558139534884,1,"0.383838383838384"
"40","RF",0.232558139534884,0.992700729927007,"0.393939393939394"
"41","RF",0.232558139534884,0.992700729927007,"0.404040404040404"
"42","RF",0.209302325581395,0.992700729927007,"0.414141414141414"
"43","RF",0.197674418604651,0.992700729927007,"0.424242424242424"
"44","RF",0.186046511627907,0.992700729927007,"0.434343434343434"
"45","RF",0.174418604651163,0.992700729927007,"0.444444444444444"
"46","RF",0.162790697674419,0.992700729927007,"0.454545454545455"
"47","RF",0.162790697674419,0.992700729927007,"0.464646464646465"
"48","RF",0.13953488372093,0.992700729927007,"0.474747474747475"
"49","RF",0.127906976744186,0.985401459854015,"0.484848484848485"
"50","RF",0.116279069767442,0.978102189781022,"0.494949494949495"
"51","RF",0.116279069767442,0.978102189781022,"0.505050505050505"
